"Year","ConditionID","Validity","SelectionRatio","Turnover","FirePerc","Reliability","Mean","SD"
20,7,0.3,0.1,0.05,0.1,0.5,0.00337845848599601,0.103838808129855
21,7,0.3,0.1,0.05,0.1,0.5,0.00552346257871391,0.106384853929202
22,7,0.3,0.1,0.05,0.1,0.5,0.00773731720327057,0.0999565663652787
23,7,0.3,0.1,0.05,0.1,0.5,0.00409156123065533,0.0981692611712267
24,7,0.3,0.1,0.05,0.1,0.5,0.00344392713075289,0.0952722735974978
25,7,0.3,0.1,0.05,0.1,0.5,0.00670621509169307,0.098556877238893
26,7,0.3,0.1,0.05,0.1,0.5,0.00450497199545757,0.100246562919409
27,7,0.3,0.1,0.05,0.1,0.5,0.00498817706696112,0.100541746606332
28,7,0.3,0.1,0.05,0.1,0.5,0.00586373000797804,0.101494122025099
29,7,0.3,0.1,0.05,0.1,0.5,0.00951103686153004,0.10318748502832
30,7,0.3,0.1,0.05,0.1,0.5,0.00824793280386519,0.101898544136942
1,8,0.3,0.1,0.05,0.1,0.7,-0.00448901619795402,0.0888009234419199
2,8,0.3,0.1,0.05,0.1,0.7,-0.00905178173250502,0.0871980844317162
3,8,0.3,0.1,0.05,0.1,0.7,-0.00972121924912749,0.0931272575420619
4,8,0.3,0.1,0.05,0.1,0.7,-0.00502537456205095,0.095261002638539
5,8,0.3,0.1,0.05,0.1,0.7,-0.00333661361088661,0.10008596300544
6,8,0.3,0.1,0.05,0.1,0.7,-0.0048496365414142,0.103449545260644
7,8,0.3,0.1,0.05,0.1,0.7,-0.00562715356186886,0.103413215745358
8,8,0.3,0.1,0.05,0.1,0.7,-0.0046478585924023,0.107085441594437
9,8,0.3,0.1,0.05,0.1,0.7,-0.00954456348735798,0.105857282398067
10,8,0.3,0.1,0.05,0.1,0.7,-0.0107383459084878,0.10566722737225
11,8,0.3,0.1,0.05,0.1,0.7,-0.0119807701316662,0.10654934077038
12,8,0.3,0.1,0.05,0.1,0.7,-0.0163040539504312,0.105740255134449
13,8,0.3,0.1,0.05,0.1,0.7,-0.0172016242808083,0.108830289545677
14,8,0.3,0.1,0.05,0.1,0.7,-0.0198881840813392,0.108052707851082
15,8,0.3,0.1,0.05,0.1,0.7,-0.0168309668225528,0.108759870772037
16,8,0.3,0.1,0.05,0.1,0.7,-0.0148234089927365,0.111944819969024
17,8,0.3,0.1,0.05,0.1,0.7,-0.0143339682053434,0.106872881857718
18,8,0.3,0.1,0.05,0.1,0.7,-0.0103988748741549,0.105212194248964
19,8,0.3,0.1,0.05,0.1,0.7,-0.0129192807762974,0.105119437784765
20,8,0.3,0.1,0.05,0.1,0.7,-0.0137555570993712,0.104501156816278
21,8,0.3,0.1,0.05,0.1,0.7,-0.016041202084343,0.100912567367508
22,8,0.3,0.1,0.05,0.1,0.7,-0.0135283234640614,0.101109473520644
23,8,0.3,0.1,0.05,0.1,0.7,-0.0138139498591136,0.102734316985306
24,8,0.3,0.1,0.05,0.1,0.7,-0.0170539560748031,0.104220917619157
25,8,0.3,0.1,0.05,0.1,0.7,-0.0111552416071009,0.103053762967404
26,8,0.3,0.1,0.05,0.1,0.7,-0.00933772320497647,0.0990018838180683
27,8,0.3,0.1,0.05,0.1,0.7,-0.00543971076692047,0.0976830816229817
28,8,0.3,0.1,0.05,0.1,0.7,-0.00322147400565765,0.09658243185327
29,8,0.3,0.1,0.05,0.1,0.7,-0.00577147570019328,0.098934257572311
30,8,0.3,0.1,0.05,0.1,0.7,-0.00564405377262008,0.100271243148364
